"address","hostpital"
"東京都千代田区三崎町2-9-18 ","東京歯科大学水道橋病院矯正歯科"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区内神田3-22-4 花喜久ビル4階A","アイドリー矯正歯科"
"東京都千代田区神田三崎町2-9-18","東京歯科大学水道橋病院歯科矯正学"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区神田佐久間町3-35 178ビル2F","秋葉原矯正歯科"
"東京都千代田区富士見2-3-16","日本歯科大学附属病院矯正歯科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区富士見2-3-16 ","日本歯科大学附属病院"
"東京都千代田区神田三崎町2-9-18","東京歯科大学歯科矯正学講座"
"東京都千代田区神田駿河台3-6-1 菱和ビル1F","坂本矯正歯科クリニック"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正学研究室"
"東京都千代田区富士見2-3-16","日本歯科大学附属病院矯正歯科"
"東京都千代田区富士見1-9-20","日本歯科大学歯科矯正学講座"
"東京都千代田区内神田3-22-4 花喜久ビル4F","アイドリー矯正歯科"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部歯科矯正学講座"
"東京都千代田区富士見1-9-20","日本歯科大学生命歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区麹町3-13-12 麹町Mビル3階","一番町矯正歯科 DENTAL CLINIC"
"東京都千代田区神田神保町2-9 神田神保町メディカルモール2F","医療法人社団審和会 KAZ矯正歯科"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区九段南2-5-7 ","イーライン矯正歯科"
"東京都千代田区九段南2-5-7 ","医療法人社団 至誠会 イーライン矯正歯科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区富士見1-9-20","日本歯科大学生命歯学部歯科矯正学講座"
"東京都千代田区神田三崎町2-9-18","東京歯科大学歯科矯正学講座"
"東京都千代田区三番町9-1-215 ","田村矯正歯科"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部付属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区富士見2-3-16","日本歯科大学附属病院矯正歯科"
"東京都千代田区神田駿河台1-8-2 駿河台アライビル1・2F","お茶の水矯正歯科"
"東京都千代田区富士見1-9-20","日本歯科大学歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部付属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部付属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部解剖学第講座"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区三崎町2-9-18","東京歯科大学歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学大学院歯学研究科歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部付属歯科病院歯科矯正科"
"東京都千代田区富士見1-9-20","日本歯科大学生命歯学部歯科矯正学講座"
"東京都千代田区神田神保町1-10-1 IVYビル3F","神保町矯正歯科クリニック"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部付属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部矯正学教室"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部歯科矯正学講座"
"東京都千代田区富士見2-3-16","日本歯科大学附属病院矯正歯科"
"東京都千代田区三崎町2-9-18 ","東京歯科大学水道橋病院矯正歯科"
"東京都千代田区富士見2-3-16 ","日本歯科大学附属病院矯正歯科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部付属歯科病院歯科矯正学研究室"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部歯科矯正学講座"
"東京都千代田区九段南2-5-7","医療法人社団至誠会 イーライン矯正歯科"
"東京都千代田区隼町3-19 隼東幸ビル2F","半蔵門スマイルライン矯正歯科"
"東京都千代田区三崎町2-9-18","東京歯科大学水道橋病院矯正歯科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部付属歯科病院歯科矯正科"
"東京都千代田区富士見2-3-16 ","日本歯科大学付属病院矯正歯科"
"東京都千代田区神田三崎町2-9-18","東京歯科大学水道橋病院矯正歯科"
"東京都千代田区富士見2-3-16","日本歯科大学附属病院矯正歯科"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部附属歯科病院歯科矯正研究室"
